Company,Skills,MoreInfo
EAGateway Services India Pvt Ltd,"python, pandas, numpy, git",https://www.timesjobs.com/job-detail/python-eagateway-services-india-pvt-ltd-bengaluru-bangalore-3-to-8-yrs-jobid-2Imi2htPAPZzpSvf__PLUS__uAgZw==&source=srp
Pure Tech Codex Private Limited,"rest, python, database, django, debugging, mongodb",https://www.timesjobs.com/job-detail/python-pure-tech-codex-private-limited-pune-2-to-3-yrs-jobid-OHwfF0d6EhNzpSvf__PLUS__uAgZw==&source=srp
Surya Informatics Solutions Pvt. Ltd.,"python, webtechnologies, linux, mobile, mysql, angularjs, javascript",https://www.timesjobs.com/job-detail/python-surya-informatics-solutions-pvt-ltd-chennai-0-to-3-yrs-jobid-UVlLes58wutzpSvf__PLUS__uAgZw==&source=srp
Citibank India,"programmeranalyst, security, procedures, debugging",https://www.timesjobs.com/job-detail/python-citibank-india-pune-2-to-5-yrs-jobid-7e84DGwz0KZzpSvf__PLUS__uAgZw==&source=srp
Gemini Solutions,"python, mobile, svn, nosql, pythonscripting, git, api, sqldatabase",https://www.timesjobs.com/job-detail/qa-python-python-sdet-gemini-solutions-gurgaon-4-to-7-yrs-jobid-eGMLzwOk2QlzpSvf__PLUS__uAgZw==&source=srp
Gemini Solutions,"python, research, pythonprogrammer, MachineLearning, PatternRecognition, ImageProcessing, DigitalImage, SignalProcessing, ElectronicCircuits, NetworkAnalysis",https://www.timesjobs.com/job-detail/python-developer-python-programmer-research-developers-delhi-delhi-ncr-noida-greater-noida-0-to-3-yrs-jobid-3MUarDWEYwBzpSvf__PLUS__uAgZw==&source=srp
Gemini Solutions,"python, informationtechnology, sql",https://www.timesjobs.com/job-detail/python-developers-golden-opportunities-pvt-ltd-chennai-5-to-8-yrs-jobid-PhsasbleP6xzpSvf__PLUS__uAgZw==&source=srp
Yallas technology solutions Private limitedi,Python,https://www.timesjobs.com/job-detail/python-developer-hiring-for-direct-client-bengaluru-bangalore-chennai-delhi-hyderabad-secunderabad-mumbai-5-to-7-yrs-jobid-90FuI5Nx2g1zpSvf__PLUS__uAgZw==&source=srp
Yallas technology solutions Private limitedi,"Djangoframework, PythonDeveloper, corepython",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-3-to-5-yrs-jobid-GTT0grHZP1tzpSvf__PLUS__uAgZw==&source=srp
Yallas technology solutions Private limitedi,"python, hadoop, machinelearning",https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
